x y z
10 1 107.6590597862701
10 2 107.44862143214236
10 3 107.37847531409976
10 4 107.34340733616679
10 6 107.30832750236105
10 7 107.29831606466188
10 8 107.29079605393875
10 9 107.28495618975555
10 12 107.27326629921252
10 18 107.26163399433719
10 20 107.25933395502143
20 1 98.45267818999913
20 2 98.24224152956748
20 3 98.17209541152488
20 4 98.13702912728802
20 5 98.116000196401
20 6 98.10196961783559
20 7 98.09198358557803
20 8 98.0845008361693
20 9 98.07871855765381
20 10 98.07410662314952
20 11 98.07033814930742
20 12 98.06721497368275
20 17 98.0573051577501
20 18 98.05597391260856
30 1 95.38385157978404
30 2 95.17341491935237
30 3 95.10328065718254
30 4 95.06826349013284
30 6 95.03335810702632
30 7 95.02349910197691
30 8 95.01618910957129
40 1 93.84946791435839
40 2 93.63907190263335
40 3 93.56903079374949
40 5 93.5133369846034
40 6 93.49966546961306
40 9 93.47727141966234
50 1 92.92896948466027
50 2 92.71865815774066
50 3 92.64879996803657
50 4 92.61418928805297
50 5 92.59379718690288
50 6 92.58024253694404
50 7 92.57067146023314
50 8 92.56356809875278
50 9 92.55792809071043
50 10 92.55365658912402
50 11 92.5500811966383
50 12 92.54719344477277
50 13 92.54459870233408
50 14 92.54244262718755
50 15 92.54057617407565
50 16 92.53898918082169
50 17 92.5375681697864
50 20 92.53420957040261
60 1 92.31554662797046
60 2 92.10533692281737
60 3 92.0358665895222
60 4 92.00160481093702
60 5 91.98138546679002
60 6 91.96798155578487
60 7 91.9584189475545
60 8 91.95134268521188
60 9 91.9459635063703
60 10 91.941678455215
60 11 91.93808612576821
60 12 91.93520514868713
60 13 91.93263919908227
60 14 91.93050683568129
60 15 91.92869627454095
70 1 91.87778885059838
70 2 91.66792127205927
70 3 91.59875072297535
70 4 91.5648005844742
70 5 91.54459309619996
70 6 91.53117732932205
70 7 91.52188909986133
70 8 91.51490599080468
70 9 91.5095268119631
70 10 91.50529087799497
70 11 91.50179170183415
70 12 91.49881587777097
80 1 91.5506362039162
80 2 91.34096509412572
80 3 91.2720435183698
80 4 91.23805442485815
80 5 91.21810607208855
80 6 91.20500702638299
80 7 91.19555281470359
80 8 91.18869673285512
80 9 91.18327351791471
90 1 91.29757259981794
90 2 91.08796585047959
90 3 91.01905443690032
90 4 90.98530415454002
90 5 90.96543371179142
90 6 90.95243459415629
90 7 90.9432124188438
100 1 91.1004788773315
100 2 90.89090938930755
100 3 90.82135606490304
100 4 90.78693169149142
